城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率
SCVA104,M11565,奥迪Q5,204000.0,3934.0,192.84,88,8.0
SCVA108,M11571,宝马320Li,160000.0,3086.0,192.88,88,8.0
SWVK110,M11644,丰田坦途,200000.0,4631.89,231.59,84,10.06
NWVB110,M12185,福特新蒙迪欧,102000.0,2321.41,227.59,69,12.04
NCVB101,M12364,奔驰唯雅诺（每人限投3000）,315000.0,5339.12,169.5,63,9.82
SWVM116,M12767,本田奥德赛,129000.0,1951.91,151.31,49,11.27
SCVB106,M12932,大众迈腾,96000.0,1521.9,158.53,44,13.15
CCVA107,M12939,保时捷cayman,197000.0,2638.69,133.94,44,11.11
SCVB114,M13049,本田思铂睿,124000.0,1272.27,102.6,29,12.91
SWVM107,M13285,大众帕萨特,80000.0,631.9,78.99,22,13.1
NCVA109,M13473,奔驰S500L,450000.0,2800.0,62.22,17,13.36
SWVM201,M13549,现代名图,86000.0,500.0,58.14,14,15.16
SWVM116,M13576,大众帕萨特,88000.0,588.0,66.82,13,18.76
SWVM116,M13581,丰田普拉多,222000.0,1412.0,63.6,13,17.86
SCVA119,M13630,大众朗逸,42000.0,319.54,76.08,12,23.14
SCVA106,M11450,丰田普拉多,104000.0,2051.0,197.21,90,8.0
SCVA106,M11455,克莱斯勒300C,58000.0,1144.0,197.24,90,8.0
CCVA103,M11486,丰田RAV4,128000.0,2496.0,195.0,89,8.0
NCVG101,M11555,日产天籁,64000.0,1363.39,213.03,87,8.94
SWVK110,M11617,日产奇骏,144000.0,3375.38,234.4,85,10.07
SWVM122,M11648,凯迪拉克XTS,196000.0,4042.22,206.24,83,9.07
NCVB107,M11660,日产贵士,300000.0,6702.41,223.41,82,9.94
NWVB110,M11933,马自达昂克赛拉,88000.0,1980.99,225.11,75,10.96
CCVA109,M12621,丰田普拉多,220000.0,3495.67,158.89,53,10.94
NCVG107,M12768,宝马318i,67000.0,972.11,145.09,48,11.03
CCVA105,M13056,保时捷cayman（每人限投3000）,424000.0,3720.82,87.76,28,11.44
SCVB101,M13124,丰田凯美瑞,70000.0,1008.9,144.13,27,19.48
NWVB104,M13148,宝马218i,153000.0,1625.43,106.24,26,14.91
NCVG103,M13193,奥迪A6L,200000.0,1675.18,83.76,25,12.23
SWVB113,M13356,奔驰S320L（每人限投3000）,512000.0,3349.63,65.42,19,12.57
NCVB111,M13501,路虎揽胜运动,300000.0,1800.0,60.0,15,14.6
SCVB106,M13565,丰田凯美瑞,56000.0,600.0,107.14,12,32.59
NWVB110,M13792,本田雅阁,113000.0,862.38,76.32,6,46.43
ECVS106,M13902,奥迪A6L,112000.0,179.2,16.0,3,19.47
SWVM120,M11503,别克英朗XT,56000.0,1368.45,244.37,87,10.25
SCVJ102,M12531,本田奥德赛,56000.0,1254.4,224.0,55,14.87
ECVS106,M13908,马自达6,76000.0,60.8,8.0,2,14.6
NCVA102,M11372,路虎揽胜运动,307000.0,5986.0,194.98,89,8.0
CCVA116,M11388,大众CC,160000.0,3120.0,195.0,89,8.0
NCVA102,M11426,宝马X5,150000.0,3300.0,220.0,88,9.13
CCVA116,M11686,斯柯达速派,100000.0,1900.0,190.0,79,8.78
CCVG108,M11879,宝马420i,254000.0,5400.0,212.6,74,10.49
SCVJ101,M12805,丰田威驰,38000.0,700.0,184.21,45,14.94
SWVM112,M13332,别克昂科威,132000.0,1000.0,75.76,18,15.36
SCVA105,M13457,凯迪拉克ATS,126000.0,2406.14,190.96,14,49.79
SWVB110,M13461,宝马X3,284000.0,1500.0,52.82,14,13.77
SWVU104,M11475,宝马740Li（保底10%）,448000.0,10600.0,236.61,86,10.04
CCVG107,M11906,睿骋,64000.0,1129.6,176.5,73,8.82
ECVD106,M11930,丰田汉兰达,89000.0,1748.94,196.51,72,9.96
CCVA111,M12516,本田雅阁,76000.0,1007.76,132.6,53,9.13
CCVA127,M12593,宝马Z4,180000.0,2052.3,114.02,51,8.16
SCVA112,M12797,丰田RAV4,140000.0,2401.12,171.51,44,14.23
SCVJ101,M12875,宝马320Li,174000.0,2337.03,134.31,42,11.67
SWVM122,M12960,沃尔沃XC60,184000.0,2319.06,126.04,39,11.8
NWVB105,M12995,路虎揽胜,515000.0,4980.68,96.71,29,12.17
SWVG101,M13150,马自达阿特兹,106000.0,819.47,77.31,23,12.27
CCVA108,M13362,大众途锐,228000.0,1400.0,61.4,16,14.01
SCVB106,M13433,奥迪A4L,101000.0,1005.2,99.52,14,25.95
CCVA105,M13490,玛莎拉蒂Levante,475000.0,2400.0,50.53,12,15.37
