城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率,天数乘收益率,收益率除天数
SWVA204,M20207,本田XR-V,100000.0,610.0,61.0,9,24.74,222.66,2.7488888888888887
SWVM209,M18824,现代索纳塔九,100000.0,2171.06,217.11,72,11.01,792.72,0.15291666666666667
ECVD107,M20089,路虎发现神行,215000.0,1034.64,48.12,14,12.55,175.70000000000005,0.8964285714285715
NWVB114,M19828,丰田RAV4,100000.0,923.98,92.4,26,12.97,337.22,0.4988461538461539
NWVB105,M19852,奥迪A3,112000.0,974.6,87.02,26,12.22,317.72,0.47
SCVA110,M20347,日产骐达,47000.0,250.03,53.2,1,194.17,194.17,194.17
SWVM105,M19482,奥迪A4L,174000.0,2206.18,126.79,41,11.29,462.89,0.2753658536585365
ECVR109,M18583,别克君越,144000.0,2809.16,195.08,89,8.0,712.0,0.0898876404494382
NWVB103,M20072,奥迪A6L,272000.0,1966.77,72.31,15,17.59,263.85,1.1726666666666667
CCVF110,M20070,保时捷Boxster,331000.0,1701.13,51.39,15,12.51,187.65,0.8340000000000001
SWVM201,M19418,传祺GS4,71000.0,1055.01,148.59,44,12.33,542.52,0.2802272727272727
SWVU109,M19638,宝马116i,88000.0,994.25,112.98,35,11.78,412.3,0.3365714285714286
CCVA103,M19995,大众POLO,60000.0,520.01,86.67,19,16.65,316.35,0.8763157894736842
CCVF110,M18560,奥迪A6L,182000.0,3550.97,195.11,89,8.0,712.0,0.0898876404494382
ECVJ101,M18729,奔驰S300L,276000.0,5720.78,207.27,76,9.95,756.1999999999997,0.13092105263157894
SCVA113,M19372,宝骏730,56000.0,1032.26,184.33,46,14.63,672.98,0.3180434782608696
SCVB106,M18777,本田奥德赛,84000.0,1551.67,184.72,74,9.11,674.14,0.1231081081081081
SCVB109,M19926,宝马520Li,176000.0,1646.28,93.54,21,16.26,341.4600000000001,0.7742857142857144
CCVF105,M19906,捷豹XE,160000.0,1132.84,70.8,21,12.31,258.51,0.5861904761904763
SWVU118,M20171,宝马520Li,176000.0,828.97,47.1,9,19.1,171.9,2.1222222222222222
NWVB108,M19696,现代领动,73000.0,857.97,117.53,31,13.84,429.04,0.4464516129032258
SCVA114,M19620,日产天籁,97000.0,1261.4,130.04,34,13.96,474.64,0.4105882352941177
CCVF202,M19494,大众途锐,206000.0,2500.79,121.4,40,11.08,443.2,0.27699999999999997
SCVA113,M20166,丰田汉兰达,152000.0,1187.33,78.11,9,31.68,285.12,3.52
ECVC102,M18585,福特锐界,82000.0,1581.94,192.92,88,8.0,704.0,0.09090909090909093
ECVS109,M20086,宝马X1,120000.0,672.0,56.0,13,15.72,204.36,1.209230769230769
SCVA101,M18948,大众CC,94000.0,1655.18,176.08,65,9.89,642.85,0.15215384615384614
SWVF110,M19558,众泰T700,76000.0,826.15,108.7,36,11.02,396.72,0.3061111111111111
CCVG108,M19933,奥迪A4L,144000.0,1020.06,70.84,21,12.31,258.51,0.5861904761904763
SCVI105,M19244,荣威350,40000.0,704.27,176.07,53,12.13,642.89,0.2288679245283019
SWVG104,M19804,宝马X3,200000.0,1895.94,94.8,26,13.31,346.06,0.5119230769230769
NCVG107,M20337,现代索纳塔八,56000.0,69.93,12.49,1,45.58,45.58,45.58
SWVM101,M18630,奥迪Q5,100000.0,2300.9,230.09,85,9.88,839.8000000000003,0.11623529411764705
NWVB109,M18838,本田凌派,60000.0,1252.17,208.7,69,11.04,761.76,0.15999999999999998
CCVA127,M19398,奥迪A6L,104000.0,1403.62,134.96,43,11.46,492.78,0.26651162790697674
NCVA109,M20050,奔驰GLK300,182000.0,875.89,48.13,14,12.55,175.70000000000005,0.8964285714285715
SWVF206,M20105,大众速腾,89000.0,623.0,70.0,11,23.23,255.53,2.111818181818182
SWVM112,M18684,沃尔沃XC60,182000.0,3863.33,212.27,77,10.06,774.62,0.13064935064935065
NWVB113,M19280,奥迪Q7,216000.0,3198.39,148.07,49,11.03,540.4699999999998,0.2251020408163265
NWVB113,M19688,奔驰S300L,126000.0,1193.28,94.7,31,11.15,345.65000000000015,0.3596774193548387
SWVM123,M18591,逸动,44000.0,1084.18,246.4,87,10.34,899.58,0.11885057471264368
CCVF105,M19801,别克GL8,160000.0,1391.98,87.0,26,12.21,317.4600000000001,0.4696153846153847
ECVM206,M19931,别克GL8,187000.0,1447.34,77.4,20,14.13,282.6,0.7065
ECVJ211,M20061,宝马730Li,272000.0,1289.23,47.4,13,13.31,173.03,1.023846153846154
CCVA101,M19625,福特锐界,148000.0,1530.6,103.42,33,11.44,377.52,0.3466666666666667
NWVQ106,M19438,大众途观,113000.0,1685.65,149.17,41,13.28,544.48,0.32390243902439025
NWVA105,M20255,MINI,108000.0,624.22,57.8,4,52.74,210.96,13.185
ECVD107,M20007,别克君威,91000.0,655.2,72.0,17,15.46,262.82,0.9094117647058824
ECVD107,M19632,宝马535i,151000.0,1519.32,100.62,33,11.13,367.29,0.3372727272727273
SCVB106,M19689,大众POLO,32000.0,666.69,208.34,31,24.53,760.4300000000003,0.7912903225806452
SCVI101,M18514,丰田普拉多,96000.0,1872.96,195.1,89,8.0,712.0,0.0898876404494382
NWVB101,M18949,马自达3 Axela,79000.0,1521.51,192.6,63,11.16,703.08,0.17714285714285716
CCVF102,M20233,凯迪拉克SRX,144000.0,345.6,24.0,5,17.52,87.6,3.5039999999999996
ECVM112,M18625,奥迪A6L,204000.0,4838.37,237.18,86,10.07,866.02,0.11709302325581394
ECVM112,M18622,宝马525Li,230000.0,4912.59,213.59,86,9.07,780.02,0.10546511627906976
NWVB110,M19619,日产天籁,64000.0,852.46,133.2,33,14.73,486.09,0.4463636363636364
NWVB110,M19833,日产蓝鸟,64000.0,756.43,118.19,24,17.98,431.52,0.7491666666666666
ECVJ106,M18959,宝马520Li,224000.0,4246.49,189.58,63,10.98,691.74,0.1742857142857143
SWVM117,M20025,WEYVV7,118000.0,862.45,73.09,16,16.67,266.72,1.041875
SWVB106,M20099,宝马525Li,192000.0,1477.02,76.93,11,25.53,280.83000000000004,2.320909090909091
SCVA114,M18556,奔驰B180,114000.0,2199.02,192.9,88,8.0,704.0,0.09090909090909093
NWVB104,M20096,大众迈腾,120000.0,737.15,61.43,12,18.68,224.16,1.5566666666666666
NWVA105,M19336,大众途锐,196000.0,3171.25,161.8,47,12.57,590.79,0.2674468085106383
SWVM201,M19527,现代名图,63000.0,819.1,130.02,38,12.49,474.62,0.3286842105263158
NWVA202,M18665,福特蒙迪欧-致胜,52000.0,1241.32,238.72,80,10.89,871.2,0.136125
ECVD103,M20306,宝马528Li,280000.0,61.9,2.21,1,8.07,8.07,8.07
SCVI113,M18520,现代朗动,65000.0,1268.04,195.08,89,8.0,712.0,0.0898876404494382
SWVM116,M19835,别克英朗,60000.0,660.0,110.0,24,16.73,401.52,0.6970833333333334
NWVQ106,M19499,起亚智跑,88000.0,1210.03,137.5,39,12.87,501.93,0.33
SCVG105,M18537,博越,71000.0,2010.88,283.22,88,11.75,1034.0,0.13352272727272727
CCVG107,M20094,哈弗H2,58000.0,302.02,52.07,12,15.84,190.08,1.32
SCVG105,M18538,博越,75000.0,2030.09,270.68,88,11.23,988.24,0.12761363636363635
SWVK111,M18601,本田杰德,75000.0,1757.18,234.29,85,10.06,855.1,0.1183529411764706
SWVA216,M19844,丰田普拉多,184000.0,1478.0,80.33,23,12.75,293.25,0.5543478260869565
ECVM112,M18529,福特翼虎,98000.0,1890.22,192.88,88,8.0,704.0,0.09090909090909093
SWVK201,M18632,大众CC,130000.0,3268.04,251.39,84,10.92,917.28,0.13
CCVA137,M18587,奔驰C180K,84000.0,2009.46,239.22,86,10.15,872.9,0.1180232558139535
NWVA105,M20232,路虎揽胜极光,196000.0,1087.92,55.51,4,50.65,202.6,12.6625
SCVB106,M18511,日产天籁,82000.0,1581.68,192.89,88,8.0,704.0,0.09090909090909093
SCVB110,M19912,丰田普拉多,248000.0,2175.86,87.74,18,17.79,320.22,0.9883333333333332
SCVA110,M18970,本田思域,69000.0,1082.74,156.92,61,9.39,572.7900000000002,0.1539344262295082
CCVA127,M19890,宝马Z4,122000.0,824.76,67.6,19,12.99,246.81,0.6836842105263158
SWVM121,M19621,别克昂科拉,56000.0,570.72,101.91,31,12.0,372.0,0.3870967741935484
SWVK201,M18605,现代索纳塔九,98000.0,2472.48,252.29,84,10.96,920.64,0.1304761904761905
SWVK201,M18607,丰田凯美瑞,102000.0,2571.65,252.12,84,10.96,920.64,0.1304761904761905
NWVQ111,M19822,奥迪A6L,168000.0,1668.3,99.3,23,15.76,362.48,0.6852173913043478
SWVF110,M19142,起亚智跑,80000.0,1259.75,157.47,53,10.84,574.52,0.20452830188679244
SWVF110,M19645,众泰T700,76000.0,714.25,93.98,31,11.07,343.17,0.3570967741935484
ECVD109,M19956,奥迪A6L,73000.0,525.6,72.0,17,15.46,262.82,0.9094117647058824
NWVA105,M19806,英菲尼迪EX25,115000.0,1227.27,106.72,23,16.94,389.62,0.7365217391304348
CCVF102,M18532,本田雅阁,80000.0,1851.02,231.38,86,9.82,844.52,0.1141860465116279
SWVM114,M18845,宝马320Li,120000.0,2097.82,174.82,66,9.67,638.22,0.14651515151515151
SCVB106,M18911,丰田卡罗拉,56000.0,1224.66,218.69,64,12.47,798.08,0.19484375
SWVM207,M19671,大众帕萨特,100000.0,1035.75,103.58,28,13.5,378.0,0.4821428571428572
SCVI115,M20074,传祺GS4,74000.0,407.0,55.0,10,20.08,200.8,2.008
SWVF108,M18888,宝马120i,96000.0,1779.74,185.39,65,10.41,676.65,0.16015384615384615
SWVK112,M19622,马自达CX-7,80000.0,841.6,105.2,30,12.8,384.0,0.4266666666666667
SWVM201,M19230,现代索纳塔九,100000.0,1631.3,163.13,49,12.15,595.35,0.2479591836734694
SWVK107,M18636,宝马GT528i,240000.0,5417.84,225.74,82,10.05,824.1,0.12256097560975612
NWVA104,M18589,本田CR-V,124000.0,3099.7,249.98,84,10.86,912.24,0.12928571428571428
NWVQ110,M19561,宝马335i,100000.0,1270.58,127.06,32,14.49,463.68,0.4528125
NCVA112,M18617,奥迪A6L,210000.0,4270.68,203.37,83,8.94,742.02,0.10771084337349396
NCVG107,M19231,本田CR-V,108000.0,1722.92,159.53,49,11.88,582.12,0.2424489795918368
NWVA108,M20263,大众帕萨特,100000.0,150.0,15.0,1,54.75,54.75,54.75
